Sous section ;Fonction;Salaire mensuel
Encadrement;Contract manager;30000
Encadrement;Directeur de projet ;50000
Encadrement;Directeur département lots thechniques;50000
Encadrement;Directeur hse;30000
Encadrement;Directeur technique;50000
Encadrement;Directrice qualité;30000
Encadrement;Directrice supply chain;30000
Encadrement;Doc. Control;15000
Encadrement;Ing méthodes;25000
Encadrement;Ing travaux electrique;20000
Encadrement;Ing travaux génie civil;20000
Encadrement;Ing travaux mécanique;20000
Encadrement;Manager electrique;20000
Encadrement;Manager génie civil;25000
Encadrement;Manager hse;20000
Encadrement;Manager mécanique;20000
Encadrement;Manager qualité;20000
Encadrement;Manager technique  ;30000
Encadrement;Métreur;20000
Encadrement;Project control manager;30000
Encadrement;Responsable electrique ;20000
Encadrement;Responsable fire fighting;25000
Encadrement;Responsable génie civil ;20000
Encadrement;Responsable hse;25000
Encadrement;Responsable hvac;25000
Encadrement;Responsable logistique;20000
Encadrement;Responsable logistique ;20000
Encadrement;Responsable mécanique ;20000
Encadrement;Responsable planning;25000
Encadrement;Responsable qualité ;20000
Encadrement;Responsable technique E&I;30000
Encadrement;Responsable topographique;25000
Encadrement;Service import / expediting;15000
Équipe administrative;Agent pointeur;5616
Équipe administrative;Chauffeur transport;5460
Équipe administrative;Agent administratif;5772
Équipe atelier mécanique;Aide mécanicien;5460
Équipe atelier mécanique;Chauffeur camion entretien;5460
Équipe atelier mécanique;Chef d'équipe mécanique;5928
Équipe atelier mécanique;Eléctricien auto;5928
Équipe atelier mécanique;Mécanicien;5616
Équipe atelier mécanique;Mécanicien d'entretien;5616
Équipe atelier mécanique;Soudeur;5772
Équipe atelier mécanique;Tolier;5772
Équipe atelier mécanique;Vulcanisateur;5772
Équipe béton;Boiseur;5460
Équipe béton;Caporal;5772
Équipe béton;Chef d'équipe béton;5928
Équipe béton;Maçon;5460
Équipe béton;Manœuvre béton;5335,2
Équipe béton;Menuisier béton;5616
Équipe béton;Soudeur béton;5616
Équipe cab;Chaffeur camion malaxeur;5460
Équipe cab;Téchnicien cab;5616
Équipe carburant;Chauffeur camion gazoil;5460
Équipe carburant;Pompiste carburant;5616
Équipe échafaudage;Chef d'équipe montage;7500
Équipe échafaudage;Manœuvres;5335,2
Équipe échafaudage;Monteur;5460
Équipe éléctricité;Aide éléctricien ;5460
Équipe éléctricité;Electricien industriel;5772
Équipe ferraillage ;Caporal;5616
Équipe ferraillage ;Caporal;5772
Équipe ferraillage ;Chef d'équipe ferraillage;5928
Équipe ferraillage ;ferrailleur;5460
